,userId,sessionId,kwhTotal,dollars,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,distance,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,reportedZip
0,35897499,1366563,7.78,0.0,2014-11-18 15:40:26,2014-11-18 17:11:04,15,17,0 days 00:00:00.000000001,Tue,android,,582873,461655,0,3,0,1,0,0,0,0,0,0
1,35897499,3075723,9.74,0.0,2014-11-19 17:40:26,2014-11-19 19:51:04,17,19,0 days 00:00:00.000000002,Wed,android,,549414,461655,0,3,0,0,1,0,0,0,0,0
2,35897499,4228788,6.76,0.58,2014-11-21 12:05:46,2014-11-21 16:46:04,12,16,0 days 00:00:00.000000004,Fri,android,,129465,461655,0,3,0,0,0,0,1,0,0,0
3,35897499,3173284,6.17,0.0,2014-12-03 19:16:12,2014-12-03 21:02:18,19,21,0 days 00:00:00.000000001,Wed,android,,569889,461655,0,3,0,0,1,0,0,0,0,0
4,35897499,3266500,0.93,0.0,2014-12-11 20:56:11,2014-12-11 21:14:06,20,21,0 days 00:00:00,Thu,android,,414088,566549,0,3,0,0,0,1,0,0,0,0
5,35897499,4099366,2.14,0.0,2014-12-12 14:38:44,2014-12-12 15:04:04,14,15,0 days 00:00:00,Fri,android,,911231,202527,0,3,0,0,0,0,1,0,0,0
6,35897499,5084244,0.3,0.0,2014-12-12 15:08:40,2014-12-12 15:47:04,15,15,0 days 00:00:00,Fri,android,,920264,461655,0,3,0,0,0,0,1,0,0,0
7,35897499,2948436,1.82,0.0,2014-12-17 20:30:25,2014-12-17 21:31:04,20,21,0 days 00:00:00.000000001,Wed,android,,431796,461655,0,3,0,0,1,0,0,0,0,0
8,35897499,3515913,0.81,0.0,2014-12-18 17:53:19,2014-12-18 18:04:04,17,18,0 days 00:00:00,Thu,android,,134427,620906,0,3,0,0,0,1,0,0,0,0
9,35897499,8490014,1.98,0.0,2014-12-18 18:06:49,2014-12-18 18:30:05,18,18,0 days 00:00:00,Thu,android,,207262,928191,0,3,0,0,0,1,0,0,0,0
10,35897499,7075912,4.56,0.0,2014-12-18 18:31:54,2014-12-18 20:57:04,18,20,0 days 00:00:00.000000002,Thu,android,,280221,976902,0,3,0,0,0,1,0,0,0,0
11,35897499,5226095,2.05,0.0,2014-12-19 14:30:37,2014-12-19 15:12:04,14,15,0 days 00:00:00,Fri,android,,371335,461655,0,3,0,0,0,0,1,0,0,0
12,35897499,9342496,5.3,0.0,2015-01-07 17:52:53,2015-01-07 20:54:03,17,20,0 days 00:00:00.000000003,Wed,android,,405157,976902,0,3,0,0,1,0,0,0,0,0
13,35897499,1853945,0.0,0.0,2015-01-09 13:59:09,2015-01-09 14:21:03,13,14,0 days 00:00:00,Fri,android,,355208,976902,0,3,0,0,0,0,1,0,0,0
14,35897499,2113485,7.85,0.5,2015-01-12 17:39:36,2015-01-12 21:48:04,17,21,0 days 00:00:00.000000004,Mon,android,,944575,928191,0,3,1,0,0,0,0,0,0,0
15,35897499,7492587,8.49,0.0,2015-01-16 17:23:35,2015-01-16 19:03:04,17,19,0 days 00:00:00.000000001,Fri,android,,582873,461655,0,3,0,0,0,0,1,0,0,0
16,35897499,1111437,7.52,0.0,2015-01-16 19:04:38,2015-01-16 21:14:04,19,21,0 days 00:00:00.000000002,Fri,android,,500856,976902,0,3,0,0,0,0,1,0,0,0
17,35897499,4716378,5.38,0.0,2015-01-21 18:01:25,2015-01-21 20:19:04,18,20,0 days 00:00:00.000000002,Wed,android,,250527,976902,0,3,0,0,1,0,0,0,0,0
18,35897499,4187340,3.42,0.0,2015-01-29 16:34:34,2015-01-29 17:25:05,16,17,0 days 00:00:00,Thu,android,,623134,620906,0,3,0,0,0,1,0,0,0,0
19,35897499,7934936,0.09,0.0,2015-01-30 18:47:08,2015-01-30 18:49:04,18,18,0 days 00:00:00,Fri,android,,801274,976902,0,3,0,0,0,0,1,0,0,0
20,35897499,7073357,12.14,0.0,2015-01-30 19:50:01,2015-01-30 21:58:04,19,21,0 days 00:00:00.000000002,Fri,android,,801274,976902,0,3,0,0,0,0,1,0,0,0
21,35897499,3002716,11.74,0.0,2015-02-03 18:59:54,2015-02-03 21:53:04,18,21,0 days 00:00:00.000000002,Tue,android,,280221,976902,0,3,0,1,0,0,0,0,0,0
22,35897499,2995135,2.48,0.0,2015-02-12 16:17:52,2015-02-12 18:44:05,16,18,0 days 00:00:00.000000002,Thu,android,,236840,620906,0,3,0,0,0,1,0,0,0,0
